convN,alpha,discount,epsilon,fedP,syncBackups,stochasticPolicy,envSeed,trial,sims,endScoreStoch,comment,avgRew,episodes,endScoreBell,endScoreRand,aggs,backups,endScoreStochBell,endScore,finalDiff,threshDiff,threshRew,threshEp,threshBack
10,0.01,0.6,0.0,4,1,True,3701,0,40400.0,2198.7135368300565,constant distance,19.920224249956796,400.0,3913.432567588432,1119.8087940932587,40175.0,40400.0,2122.4654452342415,3898.6047529358507,0.09345654042303861,0.076190647504457,20.518821347926114,200,20200
10,0.1,0.6,1.0,8,1,True,3701,0,30300.0,2241.2628993923327,constant distance,12.052079424557713,300.0,3913.432567588432,1223.9084394271417,30112.0,30300.0,2101.2563451620504,3898.6047529358507,0.17333911766530835,0.08795979643620153,14.456782917939085,190,19190
10,1.0,0.6,0.0,4,1,True,3702,1,10100000.0,14502.836003952058,max episodes,146.48254600200215,100000.0,14502.836003952058,14504.672698675688,10099527.0,10100000.0,14502.836003952058,14504.672698675688,4.823541962617691,4.823541962617691,146.48254600200215,99999,10099899
10,0.1,0.6,1.0,4,10000,True,3703,2,30300.0,-759.5612197330713,constant distance,-41.56109596168413,300.0,2426.075179067839,-4308.16593089471,3.0,30300.0,-807.1133089593919,2424.6248474958406,0.8783350174417283,0.6706734180944974,-41.56109596168413,299,30199
10,0.5,0.6,1.0,4,1,True,3703,2,30300.0,-702.4042066543483,constant distance,-39.421893551731415,300.0,2426.075179067839,-4339.057118125998,30175.0,30300.0,-784.5268486782995,-538.4237561500789,1.5042442652746075,1.084570363387772,-39.421893551731415,299,30199
10,0.5,0.6,1.0,16,1000,True,3701,0,30300.0,2460.197810543285,constant distance,14.91073708186255,300.0,3913.432567588432,1177.9856095341656,30.0,30300.0,2163.4023580442017,3898.6047529358507,1.7070486650503345,1.5571718271911936,14.91073708186255,299,30199
10,1.0,0.6,0.0,2,10,True,3703,2,40400.0,618.9605350620292,constant distance,-9.91323428688847,400.0,2426.075179067839,-4282.949192300709,4069.0,40400.0,-787.0226518208559,2424.6248474958406,2.6798948183221665,3.0927983130361176,-9.91323428688847,399,40299
10,0.2,0.6,1.0,2,1,True,3703,2,40400.0,-1110.3960413324537,constant distance,-32.20179206358108,400.0,2426.075179067839,-4176.019548538058,40278.0,40400.0,-811.2785509851354,2424.6248474958406,1.0176631197602426,0.8140982192438289,-32.20179206358108,399,40299
10,0.01,0.6,1.0,16,1000,True,3701,0,30300.0,2169.307892166156,constant distance,15.088715916881394,300.0,3913.432567588432,1214.0522355565388,30.0,30300.0,2149.655982583295,3898.6047529358507,0.09104799536519195,0.09977926717338488,11.495197311416572,130,13130
10,0.5,0.6,0.0,16,1,True,3701,0,30300.0,2285.0188952657095,constant distance,22.028952494378,300.0,3913.432567588432,1346.2907520392735,30243.0,30300.0,2167.1589154080543,4074.9011861201907,0.3152281432595426,0.5768093539821386,22.028952494378,299,30199
10,1.0,0.6,0.0,8,100,True,3703,2,30300.0,-429.96736754196286,constant distance,0.424738807348389,300.0,2426.075179067839,-4142.418827448921,302.0,30300.0,-778.0974410251322,2424.6248474958406,3.299972714243399,2.6067662107838063,0.424738807348389,299,30199
10,0.2,0.6,1.0,1,-1,True,3703,2,50500.0,-1493.7084222393516,constant distance,-46.74191682460507,500.0,2429.146433772392,-4417.625601061289,0,50500.0,-926.4189547565842,1772.8831095638816,1.1557947322796116,1.6083185250094518,-46.74191682460507,499,50399
10,0.1,0.6,0.0,8,10,True,3703,2,30300.0,-1103.770088066021,constant distance,-6.22052742173283,300.0,2426.075179067839,-4173.126499012842,3000.0,30300.0,-996.7243756748256,2424.6248474958406,0.304475345525011,0.3283163694324747,-6.22052742173283,299,30199
10,0.5,0.6,0.0,16,1,True,3703,2,30300.0,-822.6393215014244,constant distance,-5.153204068252334,300.0,2426.075179067839,-4314.230553141329,30194.0,30300.0,-561.0014868791752,2424.6248474958406,0.5409876130885174,0.5168661587929175,-5.153204068252334,299,30199
10,0.01,0.6,1.0,16,1000,True,3703,2,30300.0,-763.2677094108849,constant distance,-42.906482946240516,300.0,2426.075179067839,-4246.961663924269,30.0,30300.0,-724.44939890359,2424.6248474958406,0.14706857857812228,0.09031315996515644,-41.52522224952145,90,9090
10,0.5,0.6,0.0,8,10000,True,3702,1,10100000.0,14502.836003952058,max episodes,146.48254600200215,100000.0,14502.836003952058,14502.836003952058,1010.0,10100000.0,14502.836003952058,14504.672698675688,5.442733321059721,5.442733321059721,146.48254600200215,99999,10099899
10,0.1,0.6,0.0,16,1,True,3701,0,30300.0,1937.5458415063713,constant distance,19.9732917616491,300.0,3913.432567588432,1238.693971137288,30225.0,30300.0,2233.931869166101,3898.6047529358507,0.1382879085784451,0.08812027032914843,22.84880935358566,50,5050
10,0.1,0.6,1.0,8,1,True,3702,1,10100000.0,14502.836003952058,max episodes,146.48254600200215,100000.0,14502.836003952058,14499.162614504798,10087295.0,10100000.0,14502.426667191019,14504.672698675688,5.719380770828926,5.719380770828926,146.48254600200215,99999,10099899
10,0.5,0.6,1.0,4,10,True,3703,2,30300.0,-584.9727498266633,constant distance,-43.2232746769723,300.0,2426.075179067839,-4246.7702318475685,3001.0,30300.0,-847.7950802487861,2090.5198741561867,1.1435516661727931,0.7985049650322066,-43.2232746769723,299,30199
10,1.0,0.6,0.0,8,100,True,3701,0,30300.0,2107.0387198811745,constant distance,20.101292186938792,300.0,3913.432567588432,1177.3903190262379,299.0,30300.0,2119.5161593627245,3898.6047529358507,2.454625533595752,1.2007050338546614,20.101292186938792,299,30199
10,0.2,0.6,1.0,8,10,True,3702,1,10100000.0,14478.210295383313,max episodes,146.48254600200215,100000.0,14502.836003952058,14499.162614504798,1009896.0,10100000.0,14500.929312867907,14504.672698675688,5.644753012967028,5.644753012967027,146.48254600200215,99999,10099899
10,0.1,0.6,1.0,16,1,True,3703,2,30300.0,-714.6274180889852,constant distance,-40.2080595995618,300.0,2426.075179067839,-4125.08711356365,30253.0,30300.0,-902.6819191464336,2424.6248474958406,0.1967970487133469,0.13373687599131623,-40.2080595995618,299,30199
10,0.01,0.6,1.0,16,1,True,3701,0,50500.0,2157.5442186341406,constant distance,12.976128320666557,500.0,3913.432567588432,1290.924924282189,50364.0,50500.0,2129.811036178756,3898.6047529358507,0.04861884337616071,0.09551800042230203,16.714038889930123,130,13130
10,0.01,0.6,1.0,4,10000,True,3703,2,30300.0,-846.4023361686658,constant distance,-46.148593160556636,300.0,2426.075179067839,-4198.1404717616615,3.0,30300.0,-780.8285370968912,2424.6248474958406,0.24677900092422309,0.09098974138614084,-42.334262787583626,220,22220
